time,open,high,low,close
1778033820,7307.25,7307.5,7306.75,7307.25
1778033880,7307.5,7307.75,7307.25,7307.5
1778033940,7307.25,7307.5,7307,7307.25
1778034000,7307,7307.5,7306.75,7307.5
1778034060,7307.25,7307.25,7306,7306.5
1778034120,7306.25,7307,7306.25,7306.75
1778034180,7307,7308.25,7306.75,7307.25
1778034240,7307.25,7307.25,7306.75,7307
1778034300,7306.75,7307,7306.25,7306.75
1778034360,7307,7307,7305.5,7305.5
1778034420,7305.25,7305.5,7304.75,7305
1778034480,7305,7305,7303.75,7304.5
1778034540,7304.75,7305,7304,7304.25
1778034600,7304,7304.5,7304,7304.25
1778034660,7304.25,7305.5,7304.25,7305
1778034720,7304.75,7305.25,7304.75,7304.75
1778034780,7304.5,7305.5,7304.5,7305
1778034840,7305,7305.5,7304.75,7305.5
1778034900,7305.25,7305.5,7304.5,7304.75
1778034960,7305,7305.25,7304.5,7305
1778035020,7304.75,7305.5,7304.75,7305.5
1778035080,7305.5,7305.5,7305.25,7305.25
1778035140,7305,7305.25,7302.5,7303
1778035200,7303,7303.5,7302.75,7303.25
1778035260,7303.25,7303.5,7302.5,7302.75
1778035320,7302.75,7303.25,7302.5,7302.75
1778035380,7302.75,7303,7302.75,7302.75
1778035440,7303,7303.75,7302.75,7303.75
1778035500,7303.5,7304,7303.25,7303.75
1778035560,7303.75,7304.5,7303.75,7304.25
1778035620,7304.5,7304.75,7304,7304.75
1778035680,7304.5,7304.5,7304,7304.5
1778035740,7304.25,7304.5,7304,7304.5
1778035800,7304.25,7304.5,7304,7304.25
1778035860,7304.25,7304.75,7304,7304.5
1778035920,7304.5,7304.75,7304.25,7304.5
1778035980,7304.25,7304.5,7304,7304
1778036040,7303.75,7304,7303.75,7304
1778036100,7304,7304.75,7304,7304.75
1778036160,7304.75,7305.25,7304.5,7305.25
1778036220,7305,7305.25,7304.5,7304.5
1778036280,7304.5,7305,7304.5,7305
1778036340,7304.75,7304.75,7303.75,7304.25
1778036400,7304.25,7305.5,7304.25,7305
1778036460,7305.25,7305.25,7304.75,7305
1778036520,7304.75,7305.5,7304.25,7304.75
1778036580,7305,7305.25,7304.5,7304.5
1778036640,7304.5,7304.75,7303.75,7304.25
1778036700,7304,7304.5,7304,7304.5
1778036760,7304.25,7304.5,7304.25,7304.25
1778036820,7304.5,7304.5,7304,7304
1778036880,7304,7304.5,7303.5,7304
1778036940,7303.75,7304,7303.25,7303.75
1778037000,7304,7304.5,7303.75,7304.25
1778037060,7304.25,7304.25,7304,7304
1778037120,7304,7305.25,7304,7305.25
1778037180,7305,7305.75,7305,7305.75
1778037240,7305.75,7307.25,7305.75,7306.5
1778037300,7306.5,7307,7306.25,7307
1778037360,7307,7307.25,7306,7306.25
1778037420,7306.25,7306.5,7306,7306.25
1778037480,7306.25,7307,7306.25,7306.5
1778037540,7306.5,7306.75,7305.75,7305.75
1778037600,7306,7306.5,7306,7306.25
1778037660,7306.25,7306.25,7305.75,7306
1778037720,7305.75,7306,7305.25,7305.25
1778037780,7305.25,7306,7305.25,7305.75
1778037840,7305.75,7306.5,7305.75,7306.5
1778037900,7306.5,7307.75,7306.5,7307.5
1778037960,7307.5,7307.75,7307.25,7307.75
1778038020,7307.5,7308,7307.5,7307.75
1778038080,7308,7308.25,7307.75,7308
1778038140,7308.25,7308.5,7308,7308
1778038200,7308.25,7309,7308,7308.75
1778038260,7309,7309.5,7308.75,7309.5
1778038320,7309.25,7309.5,7308.5,7308.75
1778038380,7308.75,7308.75,7308.25,7308.5
1778038440,7308.75,7308.75,7308.5,7308.75
1778038500,7308.75,7309.75,7308.75,7309.5
1778038560,7309.75,7310.25,7309.25,7309.75
1778038620,7310,7311,7309.5,7311
1778038680,7310.75,7311,7310,7310
1778038740,7310,7310.75,7310,7310.5
1778038800,7310.5,7310.75,7309.75,7309.75
1778038860,7309.75,7310,7309.25,7309.25
1778038920,7309.5,7309.5,7308.75,7309
1778038980,7309,7309.5,7309,7309.5
1778039040,7309.5,7309.5,7309,7309
1778039100,7309,7309.25,7308.75,7309
1778039160,7308.75,7308.75,7308,7308.5
1778039220,7308.5,7308.5,7307.5,7307.75
1778039280,7307.75,7308,7307.5,7308
1778039340,7307.75,7308,7306.75,7307
1778039400,7307,7307.5,7306.75,7307
1778039460,7307.25,7307.75,7307,7307.5
1778039520,7307.5,7308,7307.5,7307.75
1778039580,7307.5,7308.5,7307.5,7308.5
1778039640,7308.5,7308.75,7307.25,7307.5
1778039700,7307.5,7308.25,7307.5,7308.25
1778039760,7308.25,7308.25,7307.5,7307.5
1778039820,7307.75,7308.25,7307.5,7308.25
1778039880,7308,7308.25,7307.75,7307.75
1778039940,7308,7308,7307.75,7307.75
1778040000,7308,7308.25,7307.75,7307.75
1778040060,7307.5,7307.75,7307.25,7307.5
1778040120,7307.5,7308.25,7307.5,7308.25
1778040180,7308.25,7308.25,7308,7308
1778040240,7308,7308,7307.75,7307.75
1778040300,7307.5,7308,7307.25,7307.75
1778040360,7307.5,7308.5,7307.5,7308.25
1778040420,7308.25,7308.25,7308,7308.25
1778040480,7308.25,7308.75,7308,7308
1778040540,7308,7308.5,7308,7308.25
1778040600,7308,7308.5,7307.75,7308
1778040660,7308,7308,7307,7307
1778040720,7306.75,7307.5,7306.75,7307
1778040780,7307,7307.25,7306.75,7307.25
1778040840,7307.25,7308,7307,7308
1778040900,7308,7308.5,7308,7308
1778040960,7307.75,7308,7307.75,7308
1778041020,7307.75,7308,7307.75,7308
1778041080,7308,7308,7307.75,7307.75
1778041140,7307.75,7308.25,7307.75,7308
1778041200,7308,7308,7307.5,7308
1778041260,7308,7308.75,7308,7308.25
1778041320,7308.25,7308.5,7308.25,7308.25
1778041380,7308.25,7308.25,7308,7308
1778041440,7308,7308.25,7307.75,7308.25
1778041500,7308.25,7308.5,7307.5,7307.75
1778041560,7307.75,7308,7307.5,7307.75
1778041620,7308,7310,7308,7309.75
1778041680,7309.5,7309.5,7308.75,7309.25
1778041740,7309.25,7309.5,7309,7309
1778041800,7309.25,7309.5,7309,7309.5
1778041860,7309.25,7309.75,7309.25,7309.75
1778041920,7309.75,7310,7309.25,7309.25
1778041980,7309.5,7310,7309.25,7309.5
1778042040,7309.5,7309.5,7308,7308.25
1778042100,7308.5,7309,7307.75,7308
1778042160,7308,7308.5,7307,7308.25
1778042220,7308.25,7308.5,7307.75,7308.5
1778042280,7308.5,7308.75,7307,7308
1778042340,7308,7308.5,7307.75,7308
